threshold,f1,precision,recall,specificity,balanced_accuracy,roc_auc,composite
0.02,0.09522301816598726,0.04999168882978723,1.0,0.0,0.5,0.8106607260700153,0.43873084029176806
0.04,0.09529470034670628,0.05003224531402775,0.9995843724023276,0.0012685359345610428,0.5004264541684443,0.8106607260700153,0.4388021564925415
0.06,0.09567397620089943,0.05024243437552249,0.999168744804655,0.006080223962206378,0.5026244843834307,0.8106607260700153,0.4393455108912536
0.08,0.0963961794686572,0.05064305292009277,0.99833748960931,0.015178688596299374,0.5067580891028047,0.8106607260700153,0.44036586007760675
0.1,0.09738847678081496,0.05119767516399923,0.9958437240232751,0.02884825685665544,0.5123459904399653,0.8106607260700153,0.44161494631666875
0.12,0.09870643486858367,0.0519266611763686,0.9958437240232751,0.04321770701194173,0.5195307155176084,0.8106607260700153,0.4435566266603834
0.14,0.10251014579888772,0.054047322540473224,0.9921030756442227,0.08626044355015092,0.5391817595971868,0.8106607260700153,0.4485719831221008
0.16,0.10569087639052335,0.055827918650747106,0.9891936824605154,0.11965793272385285,0.5544258075921842,0.8106607260700153,0.4525511619967613
0.18,0.10797886874943073,0.05711876656227415,0.985453034081463,0.14397882857267835,0.5647159313270707,0.8106607260700153,0.45511514680023457
0.2,0.11204588003886533,0.05941041944158227,0.9825436408977556,0.18142250995144568,0.5819830754246006,0.8106607260700153,0.4598414876200964
0.22,0.12596172016305374,0.06735571787394982,0.9696591853699086,0.29346922706793227,0.6315642062189204,0.8106607260700153,0.4738358150282873
0.24,0.13634346243749446,0.07339683348730527,0.9576059850374065,0.363829228817637,0.6607176069275218,0.8106607260700153,0.4824818651610929
0.26,0.143108541260763,0.07740685341310852,0.9463840399002493,0.4064345391715148,0.6764092895358821,0.8106607260700153,0.4871290338049003
0.28,0.15034214410304575,0.08177041523753922,0.9314214463840399,0.4496085035650234,0.6905149749745316,0.8106607260700153,0.4912785266673587
0.3,0.15722708593889584,0.08600805348137144,0.914380714879468,0.4886706618258169,0.7015256883526425,0.8106607260700153,0.49447772447985366
0.32,0.16390696966236534,0.09021579719254137,0.8948462177888612,0.5251301342898386,0.7099881760393498,0.8106607260700153,0.4968518989818507
0.34,0.17119100024455858,0.09490238611713665,0.8728179551122195,0.561961419010542,0.7173896870613807,0.8106607260700153,0.49901757243194
0.36,0.18290582797063357,0.10264496439471008,0.8387364921030757,0.6141463628012773,0.7264414274521764,0.8106607260700153,0.5020956092686432
0.38,0.19070735090152566,0.10825553930941402,0.8000831255195345,0.6531866497528542,0.7266348876361943,0.8106607260700153,0.5014510077635659
0.4,0.19558326838139778,0.1117643565532395,0.7822111388196176,0.672870828047767,0.7275409834336923,0.8106607260700153,0.5018341260836092
0.42,0.1990582886832278,0.11442971812581669,0.7643391521197007,0.6887275272297799,0.7265333396747403,0.8106607260700153,0.5012877089882628
0.44,0.20128046725822757,0.11636363636363636,0.744804655029094,0.7023752241809195,0.7235899396050067,0.8106607260700153,0.4997023205734282
0.46,0.20376303372750043,0.11848790732335207,0.726932668329177,0.715410524473995,0.721171596401586,0.8106607260700153,0.4984948638474917
0.48,0.20856472911267432,0.12246376811594203,0.7024106400665004,0.7351384453873409,0.7187745427269207,0.8106607260700153,0.4976001380207316
0.5,0.21624827040917177,0.12849424477331453,0.6820448877805486,0.7565723284195792,0.7193086081000639,0.8106607260700153,0.4988800097543202
0.52,0.2243503978593057,0.13505722763883002,0.6620947630922693,0.7768689033725559,0.7194818332324127,0.8106607260700153,0.5003347279768294
0.54,0.2314676987198571,0.14097914777878512,0.6463009143807149,0.792769345173002,0.7195351297768584,0.8106607260700153,0.5017894806937219
0.56,0.24754779717373235,0.1547173732335827,0.6188694929343308,0.8220768995232055,0.7204731962287682,0.8106607260700153,0.5061187151938477
0.58,0.2662186129002147,0.1716624533525942,0.5926849542809642,0.8495035212807839,0.721094237780874,0.8106607260700153,0.5117674763747285
0.6,0.2842501568709475,0.1899105645612074,0.5648379052369077,0.8732120204715454,0.7190249628542266,0.8106607260700153,0.5167155963575052
0.62,0.2896873957058627,0.19778216618562966,0.5411471321695761,0.8844976160272954,0.7128223740984357,0.8106607260700153,0.5159179131937519
0.64,0.2929745889387145,0.20251152439993642,0.5295095594347464,0.8902716416604698,0.7098906005476081,0.8106607260700153,0.5158633629121049
0.66,0.29339622641509433,0.20480737569970364,0.5170407315045719,0.8943615764839683,0.7057011539942701,0.8106607260700153,0.5142494597462989
