threshold,binary_f1,macro_f1,n_predicted_positive
0.02,0.18709857581681094,0.49918336467189095,25640
0.03,0.2251023806309347,0.5462319304228477,19213
0.04,0.2563685636856369,0.5768331328047167,15442
0.05,0.2813793103448276,0.5985778174179865,12942
0.06,0.3016514281664186,0.6151085801539258,11101
0.07,0.32157170923379175,0.6298021127369835,9717
0.08,0.33594220349187237,0.6404772087303322,8619
0.09,0.34658720551261757,0.6484636298615664,7731
0.1,0.3550710142028406,0.6548379950979284,6990
0.11,0.3614147909967846,0.6598328947626345,6322
0.12,0.36902463949131376,0.6651138571008753,5799
0.13,0.3705126665866251,0.6670148625638624,5321
0.14,0.3773871253319843,0.671615586074927,4899
0.15,0.3805721889554225,0.6741816142839732,4507
0.16,0.38227531601611336,0.6757863417371113,4191
0.17,0.381477718101321,0.6760610407786541,3881
0.18,0.38184568835098337,0.6768748485762343,3602
0.19,0.38406024474427364,0.6785540881568772,3366
0.2,0.3820516989107462,0.6779988220578311,3143
0.21,0.3798020466364704,0.6772469115020262,2953
0.22,0.3740232679284598,0.674689459519155,2751
0.23,0.37117825853745756,0.6735813721962043,2585
0.24,0.3670467083486576,0.6717840873157593,2430
0.25,0.3616376042456406,0.6693445986396773,2268
0.26,0.3538074016663437,0.6655508185286899,2153
0.27,0.3515609465102406,0.6646894664597105,2021
0.28,0.34802121583027334,0.6631500552366987,1894
0.29,0.33947258267057345,0.6590206960017995,1770
0.3,0.33183856502242154,0.655302209688067,1675
0.31,0.32524590163934425,0.6521560603710911,1567
0.32,0.3181615350290049,0.648725517375574,1474
0.33,0.31035267349260526,0.644911850986541,1387
0.34,0.3039555863983345,0.6417927772565202,1315
0.35,0.29760225669957685,0.6386919163811311,1246
0.36,0.2888517545953688,0.6343515457070965,1181
0.37,0.2795438000485319,0.6297360019989954,1113
0.38,0.2720551996057171,0.6260466561745794,1050
0.39,0.2591943957968476,0.6195967250628287,989
0.4,0.2525890376357666,0.6163033653275638,951
0.41,0.24398976982097187,0.6120171626395077,902
0.42,0.23456149455111572,0.6073270404476524,846
0.43,0.2292593561894792,0.6046950543285557,813
0.44,0.2224581895407486,0.6013520436552017,759
0.45,0.21321160042964554,0.5967282414888593,716
0.46,0.20764434806180537,0.5939705383830136,681
0.47,0.2021917808219178,0.5912839084714752,642
0.48,0.19424460431654678,0.5873127000669955,606
0.49,0.1843137254901961,0.5823501677898882,562
0.5,0.17770232031692135,0.579067043691786,526
0.51,0.17023707512139388,0.5753399608905968,493
0.52,0.16103896103896104,0.5707365426093342,457
0.53,0.15451641010746442,0.5674632562997197,435
0.54,0.14654161781946073,0.5634745390278777,404
0.55,0.13727810650887573,0.5588314385631961,372
0.56,0.13043478260869565,0.5553977762870626,350
0.57,0.12424969987995198,0.5523136763649161,324
0.58,0.11938498643352427,0.5498722233190328,309
0.59,0.11168437025796661,0.5460031989445737,287
0.6,0.10388023220287199,0.5420824191659597,265
0.61,0.09886398526251151,0.5395686345863179,249
0.62,0.09214594928880643,0.5362077810366186,226
0.63,0.08284023668639054,0.5315262132574929,203
0.64,0.07822277847309136,0.5292151220037382,188
0.65,0.07300188797986155,0.526605873387628,170
0.66,0.06704617330803289,0.5236156456620633,154
0.67,0.06104928457869634,0.5206082582603344,137
0.68,0.054952076677316296,0.5175438645424054,122
0.69,0.05438259756877799,0.5172661070629928,118
0.7,0.05001603077909587,0.5150597878057954,111
0.71,0.04628736740597879,0.5131825612889531,103
0.72,0.042539477924589106,0.51129572310324,95
0.73,0.037516170763260026,0.5087680217352568,84
0.74,0.03180785459266472,0.5058911049760966,73
0.75,0.028664495114006514,0.5043235209677571,62
0.76,0.02803129074315515,0.5040070531529056,60
0.77,0.023552502453385672,0.5017583297188698,49
0.78,0.02097672894133071,0.5004641344939557,43
0.79,0.018378733180177225,0.4991519822834433,39
0.8,0.01643115346697338,0.49817175034772054,35
0.81,0.015136558078315236,0.497524722284505,31
0.82,0.013838550247116969,0.496875987985543,27
0.83,0.013188262446422684,0.49655097888808614,25
0.84,0.012537116463213462,0.4962255406957532,23
0.85,0.012541254125412541,0.4962310324046296,22
0.86,0.009256198347107438,0.4945720645461672,17
0.87,0.007939133311280185,0.4939069563494334,15
0.88,0.00727994705493051,0.4935740754480386,14
0.89,0.004640371229698376,0.4922445597047548,9
0.9,0.003980099502487562,0.4919145590617622,7
0.91,0.003981420039814201,0.49191864205861174,6
0.92,0.003318951211417192,0.49158412013321034,5
0.93,0.0026560424966799467,0.49124937830875814,4
0.94,0.00132890365448505,0.49057923408584814,2
0.95,0.0006646726487205051,0.4902438312482352,1
0.96,0.0006646726487205051,0.4902438312482352,1
0.97,0.0,0.48990820763326,0
0.98,0.0,0.48990820763326,0
