threshold,n_pred_pos,tp,fp,fn,tn,binary_f1,macro_f1
0.9682470188029948,1,1,0,3007,73012,0.0006646726487205051,0.4902438312482352
0.9491481933009656,2,2,0,3006,73012,0.00132890365448505,0.49057923408584814
0.9416876807005432,3,3,0,3005,73012,0.0019926934573231483,0.49091441636611466
0.9307162705775789,4,3,1,3005,73011,0.00199203187250996,0.4909106628482447
0.9225708818306879,5,4,1,3004,73011,0.002655160969133754,0.4912455148186137
0.9191281946031294,6,5,1,3003,73011,0.0033178500331785005,0.49158014681681206
0.8999908395060412,7,6,1,3002,73011,0.003980099502487562,0.4919145590617622
0.8989014493699377,8,7,1,3001,73011,0.004641909814323607,0.49224875177209626
0.8903103028237963,9,8,1,3000,73011,0.005303281405369572,0.49258272516615687
0.8867320285104997,10,8,2,3000,73010,0.005301524188204109,0.4925784237816381
0.8850436091462686,11,8,3,3000,73009,0.005299768135144088,0.49257412293323527
0.8847140976599686,12,9,3,2999,73009,0.005960264900662252,0.4929076589568403
0.8838650859938542,13,10,3,2998,73009,0.006620324395895399,0.49324097638942666
0.8817521235367611,14,11,3,2997,73009,0.00727994705493051,0.4935740754480386
0.8814951156561817,15,12,3,2996,73009,0.007939133311280185,0.4939069563494334
0.8787355706004555,16,13,3,2995,73009,0.008597883597883597,0.49423961931008153
0.8720481466992356,17,14,3,2994,73009,0.009256198347107438,0.4945720645461672
0.8696910692863209,18,15,3,2993,73009,0.00991407799074686,0.4949042922735889
0.866242112274463,19,16,3,2992,73009,0.010571522960026428,0.49523630270795976
0.8656823860885119,20,17,3,2991,73009,0.011228533685601057,0.49556809606460817
0.864938806639661,21,18,3,2990,73009,0.01188511059755695,0.4958996725585781
0.8640803217005257,22,19,3,2989,73009,0.012541254125412541,0.4962310324046296
0.8623979659374794,23,19,4,2989,73008,0.012537116463213462,0.4962255406957532
0.8609408456324702,24,20,4,2988,73008,0.013192612137203167,0.4965565766581001
0.8568256523520914,25,21,4,2987,73008,0.013847675568743818,0.49688739654335634
0.8558128623506269,26,22,4,2986,73008,0.014502307185234015,0.49721800056522214
0.855536375186047,27,23,4,2985,73008,0.015156507413509062,0.4975483889371159
0.8541360832224771,28,24,4,2984,73008,0.015810276679841896,0.4978785618721751
0.8532285301312532,29,25,4,2983,73008,0.016463615409944024,0.49820851958325635
0.8528587214169563,30,26,4,2982,73008,0.017116524028966424,0.498538262282936
0.8512060805454078,31,26,5,2982,73007,0.017110891740704178,0.49853202320875917
0.8479440970842655,32,26,6,2982,73006,0.017105263157894738,0.4985257859413635
0.84529979624572,33,26,7,2982,73005,0.017099638276882604,0.4985195504789201
0.8430981108414997,34,27,7,2981,73005,0.01775147928994083,0.49884875941704787
0.8418475058674666,35,27,8,2981,73004,0.017745645744331254,0.49884241957545494
0.8417766553987422,36,28,8,2980,73004,0.018396846254927726,0.4991713083055895
0.8406468861788285,37,28,9,2980,73003,0.01839080459770115,0.4991648643613359
0.8401047057918611,38,29,9,2979,73003,0.019041365725541694,0.49949343344333114
0.8388382826652376,39,30,9,2978,73003,0.019691499835904167,0.4998217890607306
0.8374896445381903,40,31,9,2977,73003,0.020341207349081365,0.5001499314236816
0.8369144770000005,41,32,9,2976,73003,0.020990488684814693,0.5004778607420557
0.8365375033376508,42,32,10,2976,73002,0.02098360655737705,0.5004709965131338
0.8310731557603249,43,32,11,2976,73001,0.02097672894133071,0.5004641344939557
0.8294082799337972,44,33,11,2975,73001,0.02162516382699869,0.5007916406296375
0.8291351620082019,45,33,12,2975,73000,0.021618080576482148,0.5007846757463683
0.8290569159966621,46,34,12,2974,73000,0.02226588081204977,0.5011118646002445
0.8271936277951661,47,34,13,2974,72999,0.02225859247135843,0.5011047971250305
0.8267872611932132,48,35,13,2973,72999,0.022905759162303665,0.5014316692498411
0.8261772345090903,49,36,13,2972,72999,0.023552502453385672,0.5017583297188698
0.8257535935155895,50,37,13,2971,72999,0.02419882275997384,0.5020847787398022
0.8245981337739927,51,38,13,2970,72999,0.024844720496894408,0.5024110165200523
0.8138386307699785,52,39,13,2969,72999,0.025490196078431372,0.5027370432667629
0.8107146311323041,53,40,13,2968,72999,0.026135249918327344,0.5030628591868065
0.8103164123906252,54,40,14,2968,72998,0.02612671456564337,0.5030551681542255
0.8101794172285248,55,41,14,2967,72998,0.026771139405811297,0.5033806696176576
0.8087110145871261,56,42,14,2966,72998,0.02741514360313316,0.503705960803822
0.8085535136456719,57,43,14,2965,72998,0.028058727569331157,0.5040310419185807
0.808290843315608,58,44,14,2964,72998,0.028701891715590344,0.504355913167527
0.8073435369389828,59,44,15,2964,72997,0.028692533420280403,0.5043478106140691
