threshold,f1,n_pred_pos
0.01,0.14040234702430845,35168
0.02,0.18551784436849217,22154
0.03,0.21381258023106547,16467
0.04,0.23283692764011618,13175
0.05,0.2492496784336144,10986
0.06,0.26240051451081275,9431
0.07,0.27353621640861364,8230
0.08,0.2819563522992985,7256
0.09,0.2857142857142857,6442
0.1,0.2890081040977057,5753
0.11,0.28934506353861195,5176
0.12,0.293896591939873,4709
0.13,0.2925818483215914,4231
0.14,0.2902189781021898,3842
0.15,0.28908645003065603,3516
0.16,0.2859890990702148,3230
0.17,0.2789836782769645,2935
0.18,0.2772727272727273,2712
0.19,0.27814088598402326,2500
0.2,0.27538142776417407,2301
0.21,0.27281610318546023,2109
0.22,0.26434923201293453,1940
0.23,0.2585487906588824,1788
0.24,0.25654225654225654,1654
0.25,0.24718605164422866,1523
0.26,0.24068638518853014,1421
0.27,0.23172987974098058,1316
0.28,0.22111506524317912,1207
0.29,0.21548167920407668,1113
0.3,0.2078373015873016,1024
0.31,0.19878296146044624,936
0.32,0.18706518938417935,873
0.33,0.1805774278215223,802
0.34,0.17467948717948717,736
0.35,0.1706985593911389,671
0.36,0.16202810691650593,621
0.37,0.15315818893236444,570
0.38,0.14592760180995476,528
0.39,0.13749641936407905,483
0.4,0.13159420289855073,442
0.41,0.1240854550775534,409
0.42,0.10989010989010989,359
0.43,0.09958008398320337,326
0.44,0.09206541490006057,294
0.45,0.08485958485958486,268
0.46,0.07867240319606637,246
0.47,0.0718266253869969,222
0.48,0.06429463171036205,196
0.49,0.058398744113029824,177
0.5,0.05362776025236593,162
